id,Date,Code,Value,Source
0,01/02,HPG,203,NN
1,01/02,HCM,49,NN
2,01/02,HDB,44,NN
3,01/02,STB,39,NN
4,01/02,BID,39,NN
5,01/02,PVD,25,NN
6,01/02,BVH,18,NN
7,01/02,VCB,13,NN
8,01/02,HSG,13,NN
9,02/02,HPG,136,NN
10,02/02,STB,100,NN
11,02/02,FUEV,38,NN
12,02/02,VIC,35,NN
13,02/02,SSI,28,NN
14,02/02,HCM,21,NN
15,02/02,VND,21,NN
16,02/02,DPM,18,NN
17,02/02,HDB,16,NN
18,03/02,STB,171,NN
19,03/02,HPG,107,NN
20,03/02,NVL,49,NN
21,03/02,VCB,31,NN
22,03/02,KBC,28,NN
23,03/02,CTG,26,NN
24,03/02,VIC,24,NN
25,03/02,SSI,21,NN
26,03/02,HDB,18,NN
27,06/02,STB,127,NN
28,06/02,SSI,42,NN
29,06/02,VCB,31,NN
30,06/02,VND,30,NN
31,06/02,KBC,29,NN
32,06/02,VIC,27,NN
33,06/02,VNM,24,NN
34,06/02,CTG,22,NN
35,06/02,HCM,17,NN
36,07/02,STB,176,NN
37,07/02,CTG,35,NN
38,07/02,E1VF,35,NN
39,07/02,VNM,24,NN
40,07/02,PLX,22,NN
41,07/02,GAS,17,NN
42,07/02,VRE,12,NN
43,07/02,BID,12,NN
44,07/02,HCM,12,NN
45,08/02,STB,204,NN
46,08/02,HPG,159,NN
47,08/02,DPM,52,NN
48,08/02,SSI,25,NN
49,08/02,HCM,24,NN
50,08/02,GAS,19,NN
51,08/02,CTG,16,NN
52,08/02,VND,13,NN
53,08/02,BVH,12,NN
54,09/02,STB,289,NN
55,09/02,HPG,32,NN
56,09/02,HCM,26,NN
57,09/02,SSI,18,NN
58,09/02,HSG,8,NN
59,09/02,MSB,6,NN
60,09/02,BMI,5,NN
61,09/02,PVD,5,NN
62,09/02,NVL,5,NN
63,10/02,HPG,43,NN
64,10/02,GEX,28,NN
65,10/02,VCB,26,NN
66,10/02,POW,19,NN
67,10/02,MSN,13,NN
68,10/02,BVH,13,NN
69,10/02,CTG,13,NN
70,10/02,HDB,12,NN
71,10/02,HSG,9,NN
72,13/02,PVD,48,NN
73,13/02,MSN,20,NN
74,13/02,BID,19,NN
75,13/02,MIG,18,NN
76,13/02,STB,18,NN
77,13/02,HDB,16,NN
78,13/02,NT2,13,NN
79,13/02,DGW,10,NN
80,13/02,HPG,9,NN
0,01/02,VHM,-103,NN
1,01/02,DGC,-42,NN
2,01/02,VNM,-39,NN
3,01/02,MSN,-34,NN
4,01/02,CTG,-32,NN
5,01/02,KDH,-31,NN
6,01/02,DPM,-29,NN
7,01/02,PVT,-21,NN
8,01/02,KBC,-19,NN
9,02/02,KBC,-47,NN
10,02/02,VHM,-30,NN
11,02/02,VNM,-10,NN
12,02/02,MSN,-9,NN
13,02/02,KDH,-9,NN
14,02/02,PVT,-9,NN
15,02/02,NVL,-8,NN
16,02/02,KDC,-6,NN
17,02/02,HAH,-6,NN
18,03/02,KDC,-11,NN
19,03/02,HHV,-10,NN
20,03/02,MSN,-9,NN
21,03/02,GMD,-8,NN
22,03/02,VNM,-8,NN
23,03/02,BMP,-8,NN
24,03/02,DCM,-7,NN
25,03/02,BCG,-6,NN
26,03/02,DIG,-4,NN
27,06/02,DPM,-48,NN
28,06/02,DXG,-17,NN
29,06/02,BID,-17,NN
30,06/02,PVT,-14,NN
31,06/02,KDH,-11,NN
32,06/02,DGC,-6,NN
33,06/02,HAH,-6,NN
34,06/02,BMP,-6,NN
35,06/02,DGW,-4,NN
36,07/02,HPG,-55,NN
37,07/02,VCB,-48,NN
38,07/02,VND,-32,NN
39,07/02,VHM,-32,NN
40,07/02,HSG,-31,NN
41,07/02,SHB,-27,NN
42,07/02,DGC,-26,NN
43,07/02,NKG,-24,NN
44,07/02,SSI,-20,NN
45,08/02,VHM,-117,NN
46,08/02,VNM,-25,NN
47,08/02,VIC,-18,NN
48,08/02,VHC,-17,NN
49,08/02,NVL,-15,NN
50,08/02,KDH,-14,NN
51,08/02,SHB,-14,NN
52,08/02,DXG,-11,NN
53,08/02,KDC,-8,NN
54,09/02,BCM,-86,NN
55,09/02,VHM,-61,NN
56,09/02,VNM,-56,NN
57,09/02,VIC,-38,NN
58,09/02,MSN,-24,NN
59,09/02,DGC,-20,NN
60,09/02,KDH,-14,NN
61,09/02,VCB,-13,NN
62,09/02,KBC,-13,NN
63,10/02,KDH,-40,NN
64,10/02,KBC,-37,NN
65,10/02,STB,-25,NN
66,10/02,DXG,-18,NN
67,10/02,VNM,-17,NN
68,10/02,VIC,-15,NN
69,10/02,SSI,-9,NN
70,10/02,DCM,-8,NN
71,10/02,DGC,-6,NN
72,13/02,KDH,-50,NN
73,13/02,DPM,-36,NN
74,13/02,VHM,-24,NN
75,13/02,VNM,-23,NN
76,13/02,VCI,-22,NN
77,13/02,SSI,-19,NN
78,13/02,DXG,-17,NN
79,13/02,DGC,-15,NN
80,13/02,SHB,-14,NN
0,01/02,VPB,38,TD
1,01/02,GMD,15,TD
2,01/02,VIB,9,TD
3,01/02,HT1,2,TD
4,01/02,NBB,2,TD
5,01/02,PTB,1,TD
6,01/02,HDG,1,TD
7,01/02,VCI,0,TD
8,01/02,SZC,0,TD
9,02/02,MWG,37,TD
10,02/02,VPB,27,TD
11,02/02,GMD,23,TD
12,02/02,FPT,23,TD
13,02/02,VNM,23,TD
14,02/02,MSN,22,TD
15,02/02,VIC,19,TD
16,02/02,ACB,18,TD
17,02/02,MBB,17,TD
18,03/02,GMD,161,TD
19,03/02,OCB,41,TD
20,03/02,MWG,16,TD
21,03/02,DXS,6,TD
22,03/02,NVL,2,TD
23,03/02,EIB,2,TD
24,03/02,FUES,1,TD
25,03/02,PNJ,1,TD
26,03/02,REE,1,TD
27,06/02,MWG,20,TD
28,06/02,GMD,8,TD
29,06/02,OCB,7,TD
30,06/02,KDH,3,TD
31,06/02,DXS,2,TD
32,06/02,FUES,2,TD
33,06/02,FUES,2,TD
34,06/02,PNJ,1,TD
35,06/02,PVD,1,TD
36,07/02,HPG,5,TD
37,07/02,VCB,2,TD
38,07/02,FUES,1,TD
39,07/02,HT1,1,TD
40,07/02,SAB,1,TD
41,07/02,SSI,1,TD
42,07/02,VIC,1,TD
43,07/02,VNM,0,TD
44,07/02,BID,0,TD
45,08/02,HPG,35,TD
46,08/02,VHM,20,TD
47,08/02,STB,19,TD
48,08/02,FPT,18,TD
49,08/02,VPB,18,TD
50,08/02,MWG,17,TD
51,08/02,VNM,16,TD
52,08/02,MSN,16,TD
53,08/02,ACB,14,TD
54,09/02,VSC,109,TD
55,09/02,BCM,84,TD
56,09/02,KDH,6,TD
57,09/02,FUES,1,TD
58,09/02,HDB,1,TD
59,09/02,EIB,0,TD
60,09/02,REE,0,TD
61,09/02,NLG,0,TD
62,09/02,LDG,0,TD
63,10/02,KDH,18,TD
64,10/02,EIB,15,TD
65,10/02,DXS,3,TD
66,10/02,REE,1,TD
67,10/02,TCH,1,TD
68,10/02,PNJ,0,TD
69,10/02,GMD,0,TD
70,10/02,FUEM,0,TD
71,10/02,FUES,0,TD
72,13/02,VPB,45,TD
73,13/02,KDH,37,TD
74,13/02,STB,25,TD
75,13/02,BID,18,TD
76,13/02,NLG,17,TD
77,13/02,FRT,11,TD
78,13/02,MBB,11,TD
79,13/02,FPT,10,TD
80,13/02,PC1,9,TD
0,01/02,HPG,-42,TD
1,01/02,VNM,-31,TD
2,01/02,VCB,-30,TD
3,01/02,STB,-27,TD
4,01/02,VIC,-25,TD
5,01/02,MSN,-25,TD
6,01/02,VHM,-25,TD
7,01/02,SSI,-21,TD
8,01/02,MWG,-19,TD
9,02/02,FUEV,-29,TD
10,02/02,E1VF,-24,TD
11,02/02,FUES,-4,TD
12,02/02,VIB,-2,TD
13,02/02,BCM,-2,TD
14,02/02,HSG,-1,TD
15,02/02,DCM,0,TD
16,02/02,DPM,0,TD
17,02/02,FUEV,0,TD
18,03/02,FUEV,-19,TD
19,03/02,BCM,-15,TD
20,03/02,HPG,-12,TD
21,03/02,E1VF,-11,TD
22,03/02,FUES,-7,TD
23,03/02,STB,-6,TD
24,03/02,MSN,-6,TD
25,03/02,VHM,-6,TD
26,03/02,VIC,-6,TD
27,06/02,FPT,-21,TD
28,06/02,VCB,-14,TD
29,06/02,VPB,-14,TD
30,06/02,ACB,-11,TD
31,06/02,FUEV,-11,TD
32,06/02,MSN,-11,TD
33,06/02,VNM,-10,TD
34,06/02,VIC,-10,TD
35,06/02,SSI,-9,TD
36,07/02,GMD,-198,TD
37,07/02,BCM,-93,TD
38,07/02,E1VF,-73,TD
39,07/02,OCB,-66,TD
40,07/02,STB,-22,TD
41,07/02,VPB,-21,TD
42,07/02,FUEV,-14,TD
43,07/02,MBB,-8,TD
44,07/02,NVL,-8,TD
45,08/02,FUEV,-15,TD
46,08/02,E1VF,-7,TD
47,08/02,GMD,-4,TD
48,08/02,BVH,-2,TD
49,08/02,OCB,-1,TD
50,08/02,VCI,-1,TD
51,08/02,HCM,-1,TD
52,08/02,SZC,0,TD
53,08/02,VND,0,TD
54,09/02,E1VF,-15,TD
55,09/02,VPB,-11,TD
56,09/02,FUEV,-9,TD
57,09/02,HPG,-9,TD
58,09/02,GMD,-7,TD
59,09/02,STB,-4,TD
60,09/02,VHM,-4,TD
61,09/02,VCB,-4,TD
62,09/02,TCB,-4,TD
63,10/02,VPB,-20,TD
64,10/02,HPG,-19,TD
65,10/02,VNM,-16,TD
66,10/02,VIC,-13,TD
67,10/02,MSN,-12,TD
68,10/02,TCB,-12,TD
69,10/02,VHM,-12,TD
70,10/02,VCB,-11,TD
71,10/02,ACB,-10,TD
72,13/02,NVL,-14,TD
73,13/02,E1VF,-11,TD
74,13/02,VIB,-10,TD
75,13/02,MIG,-8,TD
76,13/02,DGW,-7,TD
77,13/02,PET,-5,TD
78,13/02,TCB,-3,TD
79,13/02,CTR,-3,TD
80,13/02,ACB,-2,TD
