id,Date,CN_Long,CN_Short,TD_Long,TD_Short,NN_Long,NN_Short,Total_Long,Total_Short,CN_Net,TD_Net,NN_Net,Total_Net
0,2023-2/2023-14,272864.0,275979.0,2610.0,2262.0,3687.0,6595.0,279161.0,284836.0,-3115.0,348.0,-2908.0,-5675.0
1,2023-2/2023-13,287038.0,288394.0,2497.0,447.0,5671.0,6108.0,295206.0,294949.0,-1356.0,2050.0,-437.0,257.0
2,2023-2/2023-10,264832.0,272019.0,2911.0,1253.0,2189.0,3566.0,269932.0,276838.0,-7187.0,1658.0,-1377.0,-6906.0
3,2023-/2023-9/,368304.0,375698.0,3582.0,2228.0,2775.0,2846.0,374661.0,380772.0,-7394.0,1354.0,-71.0,-6111.0
4,2023-/2023-8/,289198.0,290713.0,939.0,3369.0,3693.0,2370.0,293830.0,296452.0,-1515.0,-2430.0,1323.0,-2622.0
5,2023-/2023-7/,274065.0,281358.0,3518.0,2139.0,3462.0,3204.0,281045.0,286701.0,-7293.0,1379.0,258.0,-5656.0
6,2023-/2023-6/,283523.0,281473.0,3566.0,2171.0,3085.0,4633.0,290174.0,288277.0,2050.0,1395.0,-1548.0,1897.0
7,2023-/2023-3/,234871.0,239504.0,1722.0,1446.0,2333.0,1935.0,238926.0,242885.0,-4633.0,276.0,398.0,-3959.0
8,2023-/2023-2/,350547.0,354640.0,1616.0,3893.0,4932.0,3650.0,357095.0,362183.0,-4093.0,-2277.0,1282.0,-5088.0
9,2023-/2023-1/,308771.0,320281.0,7285.0,5047.0,6627.0,4322.0,322683.0,329650.0,-11510.0,2238.0,2305.0,-6967.0
10,2023-01/2023-31,211060.0,207964.0,6001.0,3739.0,3031.0,4914.0,220092.0,216617.0,3096.0,2262.0,-1883.0,3475.0
11,2023-01/2023-30,204354.0,208914.0,3227.0,3629.0,2592.0,2242.0,210173.0,214785.0,-4560.0,-402.0,350.0,-4612.0
12,2023-01/2023-27,173768.0,181285.0,2800.0,465.0,4139.0,3401.0,180707.0,185151.0,-7517.0,2335.0,738.0,-4444.0
13,2023-01/2023-19,20028.0,24620.0,59.0,5440.0,10835.0,1911.0,30922.0,31971.0,-4592.0,-5381.0,8924.0,-1049.0
14,2023-01/2023-18,14606.0,13556.0,283.0,2249.0,2243.0,1190.0,17132.0,16995.0,1050.0,-1966.0,1053.0,137.0
15,2023-01/2023-17,8511.0,6802.0,283.0,1794.0,3103.0,2285.0,11897.0,10881.0,1709.0,-1511.0,818.0,1016.0
16,2023-01/2023-16,4071.0,6188.0,350.0,396.0,3063.0,551.0,7484.0,7135.0,-2117.0,-46.0,2512.0,349.0
17,2023-01/2023-13,1949.0,2673.0,0.0,37.0,702.0,73.0,2651.0,2783.0,-724.0,-37.0,629.0,-132.0
18,2023-01/2023-12,1731.0,2124.0,0.0,85.0,393.0,102.0,2124.0,2311.0,-393.0,-85.0,291.0,-187.0
19,2023-01/2023-11,774.0,1220.0,0.0,12.0,455.0,67.0,1229.0,1299.0,-446.0,-12.0,388.0,-70.0
20,2023-01/2023-10,938.0,1393.0,0.0,0.0,610.0,10.0,1548.0,1403.0,-455.0,0.0,600.0,145.0
21,2023-01/2023-09,1075.0,1536.0,0.0,1.0,339.0,8.0,1414.0,1545.0,-461.0,-1.0,331.0,-131.0
