id,Date,Vnindex (%),Tổng KLGD (Tr. CP),Tổng GTGD ( Tỷ VND),GTGD Khớp Lệnh,GTGD Thỏa Thuận,,NDTNN( Tỷ VND),NDTNN Mua,NDTNN Bán,,Tự Doanh( Tỷ VND),Tự Doanh Mua,Tự Doanh Bán,,Cá Nhân TN ( Tỷ VND),CN Trong Nước Mua,CN Trong Nước Bán,,Tổ Chức TN( Tỷ VND),Tổ Chức TN Mua,Tổ Chức TN Bán,,Tổ Chức NN( Tỷ VND),Tổ Chức NN Mua,Tổ Chức NN Bán
1,2023-02-10,-0.82%,444,8156,6665,1490,,28,1197,1169,,-196,141,337,,107,6462,6355,,-135,497,632,,21,1180,1158
2,2023-02-13,-1.10%,655,10454,8912,1541,,-81,957,1037,,161,358,197,,-279,8542,8821,,360,955,595,,-66,918,984
3,2023-02-14,-0.48%,382,6720,5486,1234,,57,1067,1010,,-151,76,227,,175,5235,5060,,-232,418,651,,23,1020,997
4,2023-02-15,0.92%,564,9856,7907,1949,,-327,1969,2296,,57,243,186,,121,7124,7003,,206,763,558,,-369,1917,2286
5,2023-02-16,0.96%,461,8445,6879,1566,,-110,1176,1285,,-20,169,189,,339,6687,6348,,-229,583,812,,-125,1149,1274
6,2023-02-17,0.10%,450,7687,6880,807,,-13,1011,1024,,-47,160,207,,77,6271,6194,,-65,380,445,,-2,1022,1024
7,2023-02-20,2.58%,654,11698,10496,1202,,-90,1123,1213,,284,474,190,,-103,9719,9822,,193,856,663,,-91,1080,1171
8,2023-02-21,-0.41%,701,11851,10398,1454,,-72,1133,1206,,107,331,224,,47,9994,9947,,26,724,698,,-62,1109,1171
9,2023-02-22,-2.58%,790,12727,11651,1076,,-364,942,1307,,47,241,193,,405,11174,10769,,-41,611,652,,-327,919,1246
10,2023-02-23,-0.06%,687,12070,9890,2180,,-678,1852,2530,,-13,432,445,,648,9330,8682,,30,888,859,,-694,1820,2514
