id,Date,CN_Long,CN_Short,TD_Long,TD_Short,NN_Long,NN_Short,Total_Long,Total_Short,Open_Interest,CN_Net,TD_Net,NN_Net,Total_Net
0,2023-03-15,316236,307936,2305,2785,5408,12719,321647,320658,33950,8300,-480,-7311,989
1,2023-03-14,274336,271477,986,2113,2953,7938,278275,281528,39441,2859,-1127,-4985,-3253
2,2023-03-13,323473,315697,2039,2576,2265,7332,327777,325605,45096,7776,-537,-5067,2172
3,2023-03-10,339601,335012,3282,1688,3101,3586,345984,340286,49620,4589,1594,-485,5698
4,2023-03-09,347757,345930,4493,2990,2712,3902,354962,352822,57817,1827,1503,-1190,2140
5,2023-03-08,362013,355013,3208,1536,4239,4341,369460,360890,57199,7000,1672,-102,8570
6,2023-03-07,446162,442294,3021,4415,5540,6746,454723,453455,50658,3868,-1394,-1206,1268
7,2023-03-06,366333,373001,4144,2393,6709,6392,377186,381786,56799,-6668,1751,317,-4600
8,2023-03-03,357376,363968,3694,3180,5169,3502,366239,370650,57465,-6592,514,1667,-4411
9,2023-03-02,332589,338850,5189,1995,5524,2672,343302,343517,55356,-6261,3194,2852,-215
10,2023-03-01,407926,403273,2419,5967,7141,5246,417486,414486,56411,4653,-3548,1895,3000
11,2023-02-28,304696,310932,3643,2816,3066,2000,311405,315748,58783,-6236,827,1066,-4343
12,2023-02-27,316507,309462,2568,6157,4095,5802,323170,321421,53308,7045,-3589,-1707,1749
13,2023-02-24,320023,329401,5591,3925,5421,4324,331035,337650,50988,-9378,1666,1097,-6615
14,2023-02-23,354192,350261,4923,5304,5920,4583,365035,360148,50450,3931,-381,1337,4887
15,2023-02-22,303502,307463,3172,4121,3744,4276,310418,315860,49490,-3961,-949,-532,-5442
16,2023-02-21,280833,283355,3217,4503,2257,3728,286307,291586,49135,-2522,-1286,-1471,-5279
17,2023-02-20,297767,288159,2353,4875,5507,6165,305627,299199,51965,9608,-2522,-658,6428
18,2023-02-17,290065,292080,4725,3808,3585,3016,298375,298904,43651,-2015,917,569,-529
19,2023-02-16,29024,35462,208,3055,12051,2636,41283,41153,38426,-6438,-2847,9415,130
20,2023-02-15,12856,19016,0,0,6582,518,19438,19534,21379,-6160,0,6064,-96
21,2023-02-14,5222,10306,0,221,4639,278,9861,10805,13830,-5084,-221,4361,-944
