id,Date,Code,Value,Source
0,10/02,HPG,43,NN
1,10/02,GEX,28,NN
2,10/02,VCB,26,NN
3,10/02,POW,19,NN
4,10/02,MSN,13,NN
5,10/02,BVH,13,NN
6,10/02,CTG,13,NN
7,10/02,HDB,12,NN
8,10/02,HSG,9,NN
9,13/02,PVD,48,NN
10,13/02,MSN,20,NN
11,13/02,BID,19,NN
12,13/02,MIG,18,NN
13,13/02,STB,18,NN
14,13/02,HDB,16,NN
15,13/02,NT2,13,NN
16,13/02,DGW,10,NN
17,13/02,HPG,9,NN
18,14/02,HPG,96,NN
19,14/02,KBC,22,NN
20,14/02,VND,19,NN
21,14/02,HSG,15,NN
22,14/02,MSN,12,NN
23,14/02,HDB,11,NN
24,14/02,SSI,11,NN
25,14/02,VJC,9,NN
26,14/02,PVD,8,NN
27,15/02,E1VF,38,NN
28,15/02,KDH,15,NN
29,15/02,VCG,14,NN
30,15/02,PVD,13,NN
31,15/02,BID,10,NN
32,15/02,VNM,10,NN
33,15/02,HPG,9,NN
34,15/02,VCI,8,NN
35,15/02,DPM,7,NN
36,16/02,HDB,30,NN
37,16/02,VNM,23,NN
38,16/02,HSG,19,NN
39,16/02,MSN,19,NN
40,16/02,CTG,18,NN
41,16/02,GAS,14,NN
42,16/02,FUEV,12,NN
43,16/02,KBC,9,NN
44,16/02,POW,9,NN
45,17/02,KBC,23,NN
46,17/02,VCI,18,NN
47,17/02,HSG,16,NN
48,17/02,SSI,16,NN
49,17/02,BID,14,NN
50,17/02,PVD,13,NN
51,17/02,VRE,11,NN
52,17/02,NKG,9,NN
53,17/02,VND,8,NN
54,20/02,SSI,28,NN
55,20/02,HSG,25,NN
56,20/02,NVL,23,NN
57,20/02,HDB,16,NN
58,20/02,VIC,16,NN
59,20/02,VNM,14,NN
60,20/02,CTG,14,NN
61,20/02,FUEV,11,NN
62,20/02,BVH,11,NN
63,21/02,FUEV,37,NN
64,21/02,HDB,25,NN
65,21/02,SSI,17,NN
66,21/02,HCM,17,NN
67,21/02,NKG,16,NN
68,21/02,HSG,16,NN
69,21/02,VCI,13,NN
70,21/02,PVD,13,NN
71,21/02,NVL,10,NN
72,22/02,NKG,21,NN
73,22/02,FUEV,20,NN
74,22/02,KBC,19,NN
75,22/02,FRT,19,NN
76,22/02,HSG,14,NN
77,22/02,PC1,10,NN
78,22/02,HHV,6,NN
79,22/02,DGW,4,NN
80,22/02,HAH,4,NN
0,10/02,KDH,-40,NN
1,10/02,KBC,-37,NN
2,10/02,STB,-25,NN
3,10/02,DXG,-18,NN
4,10/02,VNM,-17,NN
5,10/02,VIC,-15,NN
6,10/02,SSI,-9,NN
7,10/02,DCM,-8,NN
8,10/02,DGC,-6,NN
9,13/02,KDH,-50,NN
10,13/02,DPM,-36,NN
11,13/02,VHM,-24,NN
12,13/02,VNM,-23,NN
13,13/02,VCI,-22,NN
14,13/02,SSI,-19,NN
15,13/02,DXG,-17,NN
16,13/02,DGC,-15,NN
17,13/02,SHB,-14,NN
18,14/02,VIC,-43,NN
19,14/02,STB,-40,NN
20,14/02,VHM,-36,NN
21,14/02,DXG,-22,NN
22,14/02,DGC,-17,NN
23,14/02,FUEV,-13,NN
24,14/02,KDC,-13,NN
25,14/02,VCB,-10,NN
26,14/02,EIB,-9,NN
27,15/02,STB,-177,NN
28,15/02,NVL,-72,NN
29,15/02,DXG,-57,NN
30,15/02,VIC,-52,NN
31,15/02,VND,-44,NN
32,15/02,VHM,-40,NN
33,15/02,SSI,-30,NN
34,15/02,DGC,-16,NN
35,15/02,GEX,-15,NN
36,16/02,STB,-83,NN
37,16/02,VIC,-47,NN
38,16/02,DXG,-45,NN
39,16/02,DCM,-33,NN
40,16/02,DGC,-22,NN
41,16/02,VHM,-21,NN
42,16/02,HPG,-20,NN
43,16/02,SSI,-15,NN
44,16/02,EIB,-14,NN
45,17/02,STB,-35,NN
46,17/02,HPG,-27,NN
47,17/02,DXG,-20,NN
48,17/02,CTG,-17,NN
49,17/02,SHB,-16,NN
50,17/02,KDC,-15,NN
51,17/02,GMD,-15,NN
52,17/02,GEX,-14,NN
53,17/02,VHM,-14,NN
54,20/02,VHM,-66,NN
55,20/02,DCM,-48,NN
56,20/02,DXG,-41,NN
57,20/02,VCB,-33,NN
58,20/02,STB,-29,NN
59,20/02,GMD,-25,NN
60,20/02,GEX,-22,NN
61,20/02,VND,-18,NN
62,20/02,KDC,-17,NN
63,21/02,DXG,-45,NN
64,21/02,DPM,-35,NN
65,21/02,VND,-26,NN
66,21/02,DCM,-20,NN
67,21/02,KDC,-18,NN
68,21/02,DGW,-15,NN
69,21/02,NLG,-14,NN
70,21/02,FRT,-12,NN
71,21/02,GEX,-11,NN
72,22/02,VIC,-58,NN
73,22/02,VHM,-54,NN
74,22/02,DXG,-39,NN
75,22/02,CTG,-38,NN
76,22/02,STB,-37,NN
77,22/02,SSI,-36,NN
78,22/02,VNM,-35,NN
79,22/02,HPG,-31,NN
80,22/02,MSN,-24,NN
0,10/02,KDH,18,TD
1,10/02,EIB,15,TD
2,10/02,DXS,3,TD
3,10/02,REE,1,TD
4,10/02,TCH,1,TD
5,10/02,PNJ,0,TD
6,10/02,GMD,0,TD
7,10/02,FUEM,0,TD
8,10/02,FUES,0,TD
9,13/02,VPB,45,TD
10,13/02,KDH,37,TD
11,13/02,STB,25,TD
12,13/02,BID,18,TD
13,13/02,NLG,17,TD
14,13/02,FRT,11,TD
15,13/02,MBB,11,TD
16,13/02,FPT,10,TD
17,13/02,PC1,9,TD
18,14/02,KDH,6,TD
19,14/02,HDG,3,TD
20,14/02,DXS,2,TD
21,14/02,POW,2,TD
22,14/02,OCB,1,TD
23,14/02,MBB,0,TD
24,14/02,EIB,0,TD
25,14/02,FUEM,0,TD
26,14/02,SCS,0,TD
27,15/02,STB,16,TD
28,15/02,KDH,11,TD
29,15/02,HDG,7,TD
30,15/02,TCB,6,TD
31,15/02,MWG,6,TD
32,15/02,VHM,5,TD
33,15/02,MBB,5,TD
34,15/02,VNM,5,TD
35,15/02,ACB,5,TD
36,16/02,E1VF,6,TD
37,16/02,KDH,5,TD
38,16/02,PVT,4,TD
39,16/02,HDB,3,TD
40,16/02,HPG,3,TD
41,16/02,VHM,2,TD
42,16/02,PNJ,2,TD
43,16/02,VRE,2,TD
44,16/02,MSN,2,TD
45,17/02,E1VF,16,TD
46,17/02,STB,7,TD
47,17/02,PVT,6,TD
48,17/02,PNJ,4,TD
49,17/02,GMD,3,TD
50,17/02,KDH,3,TD
51,17/02,REE,3,TD
52,17/02,VIB,2,TD
53,17/02,HDG,1,TD
54,20/02,E1VF,28,TD
55,20/02,HPG,24,TD
56,20/02,MSN,23,TD
57,20/02,VHM,19,TD
58,20/02,ACB,17,TD
59,20/02,VNM,16,TD
60,20/02,VPB,15,TD
61,20/02,VIC,15,TD
62,20/02,VCB,15,TD
63,21/02,E1VF,34,TD
64,21/02,FUEK,14,TD
65,21/02,ACB,11,TD
66,21/02,HPG,11,TD
67,21/02,MWG,10,TD
68,21/02,TCB,10,TD
69,21/02,VNM,9,TD
70,21/02,VHM,8,TD
71,21/02,MSN,8,TD
72,22/02,FPT,9,TD
73,22/02,TCB,8,TD
74,22/02,ACB,8,TD
75,22/02,MWG,7,TD
76,22/02,VIB,7,TD
77,22/02,VCB,7,TD
78,22/02,VNM,7,TD
79,22/02,MBB,5,TD
80,22/02,VHM,5,TD
0,10/02,VPB,-20,TD
1,10/02,HPG,-19,TD
2,10/02,VNM,-16,TD
3,10/02,VIC,-13,TD
4,10/02,MSN,-12,TD
5,10/02,TCB,-12,TD
6,10/02,VHM,-12,TD
7,10/02,VCB,-11,TD
8,10/02,ACB,-10,TD
9,13/02,NVL,-14,TD
10,13/02,E1VF,-11,TD
11,13/02,VIB,-10,TD
12,13/02,MIG,-8,TD
13,13/02,DGW,-7,TD
14,13/02,PET,-5,TD
15,13/02,TCB,-3,TD
16,13/02,CTR,-3,TD
17,13/02,ACB,-2,TD
18,14/02,FUEV,-18,TD
19,14/02,FPT,-11,TD
20,14/02,VPB,-10,TD
21,14/02,ACB,-9,TD
